id,node_id,position
42708545,2017600756,1
42708545,572130902,2
42708545,2442517547,3
42708545,2442517549,4
42708545,572130905,5
42708545,2442468108,6
42708545,572130913,7
42708545,2442468111,8
42708545,2442468113,9
42708545,2442517602,10
42708545,572130916,11
42708545,2442517622,12
42708545,2442468123,13
42708545,2442468126,14
42708545,2442468129,15
42708545,572130924,16
42708545,2442468138,17
42708545,2442468150,18
42708545,2442468154,19
42708545,2442468158,20
42708545,2442468160,21
42708545,2015020237,22
49830976,633121764,0
49830976,3836999036,1
49830976,3836999037,2
49830976,633121765,3
49830976,3836999038,4
49830976,633121766,5
49830976,3836999039,6
49830976,2258420157,7
49830976,633121767,8
51163504,652723973,0
51163504,2477337592,1
51163504,652724003,2
51163504,2477337806,3
52755579,669505126,0
52755579,669505132,1
52755579,669505140,2
52755579,669505148,3
52755579,669505126,4
52875949,762051605,0
52875949,670281055,1
52875949,762051129,2
52875949,2476292624,3
53086860,2265513018,0
53086860,245645866,1
53086860,4342718557,2
53086860,2264174496,3
53086860,245645850,4
53086860,2264174494,5
53086860,2264174493,6
53086860,674706763,7
53086860,245645801,8
53086860,672688139,9
53086860,2264174488,10
53086860,1223064194,11
53086860,2264174486,12
53086860,245645772,13
53086860,1223022842,14
53086860,2264174483,15
53086860,4701322978,16
53086860,2264174480,17
53086860,245645753,18
53086860,2264174479,19
53086860,2264174476,20
53086860,1223064095,21
53086860,245645751,22
53092822,2266620448,0
53092822,672166114,1
53092822,2266620443,2
53092822,4342673150,3
53092822,672166199,4
53153975,672683016,0
53153975,2696304036,1
53153975,672683026,2
53201365,673347446,0
53201365,2212989820,1
53202962,245646844,0
53202962,673358792,1
53202962,673358793,2
53202962,2266620495,3
53349598,674701881,0
53349598,674701882,1
53349598,1713644713,2
53349598,1713644717,3
53349598,674701881,4
53370636,2696245966,0
53370636,2696245967,1
53370636,2696245931,2
53370636,2696245955,3
53370636,2696245930,4
53370636,674918317,5
53370636,2696245921,6
53370636,2696245922,7
53370636,2696245966,8
53572189,2237582116,0
53572189,676772258,1
53572189,2270382487,2
53572189,2270382483,3
53572189,2270382447,4
53572189,672687446,5
53572189,2244957375,6
53572189,611012410,7
53744879,2266580399,0
53744879,2266580397,1
53744879,678444447,2
53744879,2266580391,3
53744879,678444448,4
53744879,678444449,5
53744879,2266580388,6
53744879,2266580389,7
53745381,2266580512,0
53745381,678450946,1
53745381,2701228472,2
53745381,2270799793,3
53745381,678450945,4
53745381,2266580502,5
