id,lat,lon,user,uid,version,changeset,timestamp
667282667,18.5214543,73.8773384,singleton,1157969,2,15630146,2013-04-06T10:00:43Z
669505892,18.5182741,73.8919767,nirvanareborn,217627,3,5508352,2010-08-16T11:35:48Z
669511270,18.5166359,73.8928852,singleton,1157969,3,19194747,2013-11-30T13:49:02Z
669647471,18.5179788,73.8854657,nirvanareborn,217627,1,4170639,2010-03-19T14:40:24Z
670281121,18.5732193,73.7570294,nirvanareborn,217627,1,4178098,2010-03-20T10:35:22Z
670299611,18.5634388,73.7829331,singleton,1157969,4,18087963,2013-09-29T08:05:38Z
670305925,18.5451695,73.8338428,singleton,1157969,2,16958353,2013-07-15T08:20:33Z
670336014,18.5560009,73.8261259,nirvanareborn,217627,1,4178269,2010-03-20T11:56:45Z
670338862,18.553692,73.8276601,nirvanareborn,217627,1,4178269,2010-03-20T12:01:43Z
670341279,18.5297116,73.8530079,chinmay,472134,3,8462028,2011-06-17T07:08:52Z
670359140,18.5260223,73.8670314,singleton,1157969,4,15948543,2013-05-02T16:09:01Z
671463284,18.5185312,73.8779625,nirvanareborn,217627,6,7694805,2011-03-28T10:28:48Z
672138222,18.4824885,73.8717813,singleton,1157969,2,15537810,2013-03-29T12:43:16Z
672149873,18.5117895,73.8826116,singleton,1157969,2,19194747,2013-11-30T13:49:02Z
672159042,18.520228,73.8545318,singleton,1157969,2,15720370,2013-04-14T05:47:33Z
672160731,18.5163713,73.8535673,singleton,1157969,3,15662399,2013-04-09T06:39:02Z
672161892,18.5109482,73.8597181,singleton,1157969,2,15721050,2013-04-14T07:23:18Z
672163174,18.5134112,73.8642474,singleton,1157969,2,15443413,2013-03-21T14:00:59Z
672165258,18.5180845,73.8641496,singleton,1157969,3,35323994,2015-11-15T09:57:51Z
672165939,18.5106425,73.8640424,nirvanareborn,217627,1,4202778,2010-03-22T15:23:14Z
672166491,18.5106793,73.8634533,singleton,1157969,2,15443413,2013-03-21T14:00:59Z
672167162,18.5110698,73.8588818,nirvanareborn,217627,1,4202778,2010-03-22T15:28:48Z
672168050,18.5141484,73.8575632,singleton,1157969,3,15721050,2013-04-14T07:23:21Z
672219809,18.5214068,73.8759354,singleton,1157969,3,19194747,2013-11-30T13:49:03Z
672235055,18.5076722,73.8901211,singleton,1157969,2,19194747,2013-11-30T13:49:03Z
672677650,18.5102554,73.8860848,Rahul Maindargi,568021,2,12880691,2012-08-27T15:59:05Z
672684615,18.4988011,73.8835079,singleton,1157969,2,20844752,2014-03-01T13:11:00Z
672686329,18.5000145,73.8895782,singleton,1157969,2,20844752,2014-03-01T13:11:01Z
672688653,18.4894883,73.8955304,singleton,1157969,2,15844861,2013-04-24T05:54:53Z
672688835,18.4839875,73.9006191,singleton,1157969,2,22429696,2014-05-19T17:51:20Z
672690601,18.48449,73.8898957,singleton,1157969,3,19971460,2014-01-13T13:15:30Z
672691983,18.5141444,73.8973332,nirvanareborn,217627,1,4211027,2010-03-23T11:49:59Z
673345602,18.5206314,73.8587163,singleton,1157969,2,15721498,2013-04-14T08:17:08Z
673346532,18.5042166,73.86281,singleton,1157969,2,15721498,2013-04-14T08:17:09Z
673348337,18.5123431,73.8640662,singleton,1157969,2,15443413,2013-03-21T14:00:59Z
673348420,18.5080701,73.8676925,singleton,1157969,2,15443413,2013-03-21T14:01:00Z
673348502,18.5009625,73.8653588,singleton,1157969,2,15443413,2013-03-21T14:01:01Z
673349034,18.5005804,73.8723799,nirvanareborn,217627,1,4219845,2010-03-24T10:57:53Z
673349777,18.5061138,73.8633819,singleton,1157969,2,15721498,2013-04-14T08:17:10Z
673353299,18.5112904,73.8659202,singleton,1157969,3,15721498,2013-04-14T08:17:10Z
673354830,18.5142649,73.8698998,singleton,1157969,2,22252275,2014-05-10T15:24:27Z
673356175,18.5108944,73.8710593,singleton,1157969,2,20843813,2014-03-01T12:07:54Z
673356621,18.5183708,73.857882,singleton,1157969,3,15721050,2013-04-14T07:23:21Z
673358366,18.5163827,73.8549262,singleton,1157969,2,15721050,2013-04-14T07:23:22Z
674068036,18.5016391,73.8562982,singleton,1157969,2,15617152,2013-04-05T08:59:08Z
674074930,18.5183806,73.8336628,nirvanareborn,217627,1,4229847,2010-03-25T15:19:03Z
674079188,18.5296043,73.8420159,singleton,1157969,2,17955357,2013-09-21T12:06:49Z
674686512,18.5947379,73.7258666,singleton,1157969,2,18086858,2013-09-29T06:06:45Z
674693304,18.5943459,73.8293107,nirvanareborn,217627,2,5558392,2010-08-22T07:49:17Z
674701485,18.5133386,73.9069518,singleton,1157969,3,19935071,2014-01-11T13:49:22Z
